positive,neutral,negative
0.949,0.049,0.003
0.828,0.168,0.004
0.912,0.085,0.002
0.831,0.164,0.005
0.842,0.155,0.003
0.961,0.036,0.002
0.13,0.77,0.1
0.792,0.204,0.004
0.959,0.039,0.002
0.941,0.056,0.003
0.711,0.284,0.005
0.452,0.54,0.008
0.561,0.424,0.015
0.976,0.022,0.002
0.957,0.041,0.003
0.852,0.145,0.003
0.834,0.161,0.005
0.95,0.047,0.004
0.981,0.017,0.002
0.711,0.283,0.005
0.892,0.106,0.002
0.935,0.062,0.003
0.095,0.816,0.089
0.901,0.097,0.003
0.859,0.137,0.004
0.955,0.042,0.003
0.795,0.197,0.008
0.918,0.079,0.002
0.032,0.275,0.693
0.929,0.068,0.003
0.983,0.014,0.003
0.078,0.919,0.003
0.858,0.139,0.003
0.735,0.261,0.003
0.854,0.144,0.003
0.974,0.023,0.002
0.965,0.033,0.002
0.802,0.193,0.004
0.967,0.03,0.002
0.961,0.036,0.002
0.929,0.067,0.004
0.631,0.364,0.004
0.878,0.119,0.003
0.945,0.053,0.002
0.628,0.366,0.006
0.909,0.087,0.004
0.978,0.02,0.002
0.859,0.137,0.003
0.956,0.041,0.003
0.968,0.029,0.003
0.635,0.358,0.008
0.969,0.029,0.002
0.844,0.153,0.002
0.512,0.482,0.006
0.96,0.038,0.003
0.953,0.044,0.003
0.903,0.093,0.004
0.752,0.235,0.013
0.822,0.175,0.003
0.757,0.237,0.005
0.887,0.109,0.004
0.808,0.188,0.004
0.928,0.07,0.002
0.916,0.082,0.002
0.776,0.22,0.004
0.731,0.264,0.004
0.965,0.033,0.003
0.788,0.209,0.004
0.659,0.337,0.003
0.965,0.032,0.002
0.892,0.097,0.011
0.706,0.29,0.003
0.937,0.061,0.002
0.878,0.118,0.003
0.94,0.057,0.003
0.937,0.061,0.002
0.859,0.138,0.003
0.674,0.322,0.004
0.52,0.475,0.005
0.651,0.344,0.005
0.961,0.036,0.003
0.973,0.025,0.002
0.785,0.21,0.006
0.916,0.082,0.002
0.957,0.04,0.003
0.078,0.913,0.008
0.967,0.03,0.002
0.945,0.053,0.002
0.802,0.195,0.003
0.95,0.048,0.002
0.96,0.036,0.004
0.965,0.032,0.003
0.93,0.067,0.003
0.942,0.055,0.003
0.731,0.265,0.004
0.452,0.534,0.014
0.947,0.051,0.002
0.141,0.762,0.097
0.947,0.05,0.003
0.958,0.039,0.003
0.953,0.045,0.002
0.368,0.625,0.007
0.906,0.091,0.002
0.941,0.056,0.003
0.965,0.032,0.002
0.964,0.034,0.002
0.902,0.094,0.005
0.93,0.067,0.002
0.822,0.165,0.013
0.784,0.212,0.004
